tanggal,kota,jenis_polutan,indeks_kualitas_udara
2021-01-01,Visalia,PM2.5 - Local Conditions,90
2021-01-01,San Pablo,PM2.5 - Local Conditions,40
2021-01-01,Fresno,PM2.5 - Local Conditions,91
2021-01-01,Pleasanton,PM2.5 - Local Conditions,54
2021-01-01,Fresno,PM2.5 - Local Conditions,97
2021-01-01,Clovis,PM2.5 - Local Conditions,84
2021-01-01,Concord,PM2.5 - Local Conditions,53
2021-01-01,Eureka,PM2.5 - Local Conditions,28
2021-01-01,Calexico,PM2.5 - Local Conditions,63
2021-01-01,Brawley,PM2.5 - Local Conditions,24
2021-01-01,El Centro,PM2.5 - Local Conditions,26
2021-01-01,Not in a city,PM2.5 - Local Conditions,4
2021-01-01,Concord,PM2.5 - Local Conditions,48
2021-01-01,Keeler,PM2.5 - Local Conditions,4
2021-01-01,Keeler,PM2.5 - Local Conditions,14
2021-01-01,Bishop,PM2.5 - Local Conditions,72
2021-01-01,Bakersfield,PM2.5 - Local Conditions,92
2021-01-01,Bakersfield,PM2.5 - Local Conditions,85
2021-01-01,Ridgecrest,PM2.5 - Local Conditions,7
2021-01-01,Mojave,PM2.5 - Local Conditions,4
2021-01-01,Corcoran,PM2.5 - Local Conditions,70
2021-01-01,Hanford,PM2.5 - Local Conditions,74
2021-01-01,Colusa,PM2.5 - Local Conditions,58
2021-01-01,Azusa,PM2.5 - Local Conditions,23
2021-01-01,Los Angeles,PM2.5 - Local Conditions,64
2021-01-01,Reseda,PM2.5 - Local Conditions,30
2021-01-01,Not in a city,PM2.5 - Local Conditions,7
2021-01-01,Red Bluff,PM2.5 - Local Conditions,64
2021-01-01,Yuba City,PM2.5 - Local Conditions,61
2021-01-01,Oakland,PM2.5 - Local Conditions,55
2021-01-01,Turlock,PM2.5 - Local Conditions,78
2021-01-01,Modesto,PM2.5 - Local Conditions,93
2021-01-01,Sebastopol,PM2.5 - Local Conditions,42
2021-01-01,Vallejo,PM2.5 - Local Conditions,84
2021-01-01,Vallejo,PM2.5 - Local Conditions,84
2021-01-01,Yreka,PM2.5 - Local Conditions,33
2021-01-01,Redding,PM2.5 - Local Conditions,53
2021-01-01,Piru,PM2.5 - Local Conditions,9
2021-01-01,Not in a city,PM2.5 - Local Conditions,73
2021-01-01,Live Oak,PM2.5 - Local Conditions,32
2021-01-01,San Jose,PM2.5 - Local Conditions,79
2021-01-01,Oakland,PM2.5 - Local Conditions,79
2021-01-01,San Jose,PM2.5 - Local Conditions,82
2021-01-01,Compton,PM2.5 - Local Conditions,175
2021-01-01,Pico Rivera,PM2.5 - Local Conditions,88
2021-01-01,Pasadena,PM2.5 - Local Conditions,38
2021-01-01,Long Beach,PM2.5 - Local Conditions,115
2021-01-01,Long Beach,PM2.5 - Local Conditions,119
